ACRNM__C,ABBREVIATION__C,BILLINGCITY,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,BILLINGSTREET,ID,INSTITUTION_SUB_TYPE__C,INSTITUTION_TYPE__C,NAME,OPPORTUNITIES__C,PHONE,PUBLIC_PRIVATE_SECTOR__C,RELATIONSHIP_WITH_THE_BANK__C,TYPE,WEBSITE
AR-AACREA,,Buenos Aires,Argentina,C1041AAZ,,"SARMIENTO 1236, 5TO PISO",0011I00000cijo9QAA,Business Association/Chamber,Business,Asociación Argentina de Consorcios Regionales de Experimentación Agrícola,0,5.41144E+11,Private Sector,,,http://www.aacrea.org.ar/
AR-ACADH,,Buenos Aires,Argentina,1407,,"Av. Lafuente 3114, Villa Soldati",0011I00000cikexQAA,,,Asociacion Civil Avanzar por el Desarrollo Humano,0,5.41149E+11,Private Sector,,,http://www.avanzar.org.ar/
AR-ACC,,Concordia,Argentina,3200,,"PELLEGRINI 407, Concordia",0011I00000cijo6QAA,Business Association/Chamber,Business,Asociacion Citricultores de Concordia,0,5.43454E+11,Private Sector,,,www.fecier.org.ar
AR-ACCSS,,Buenos Aires,Argentina,C1437ETE,,"Iguazú 451, Parque Patricios",0011I00000cikdyQAA,,,Asociacion Civil Circo Social del Sur,0,5.41149E+11,Private Sector,,,http://www.circosocialdelsur.org.ar/
AR-ACDI,ACDI,Santa Fe,Argentina,S3000BXD,,La Rioja 2350 PA,0011I00000cijyxQAA,,,Asociacion Cultural para el Desarrollo Integral,0,5.43425E+11,Private Sector,,,http://www.acdi.org.ar/
AR-ACDICAR,ACDICAR,Rafaela,Argentina,2300,,"Oficina Programa de Competitividad Territorial, Presidente Perón y 500 Millas Argentinas, (ITEC - PAER) RafaelaRafaela, Santa Fe",0011I00000cijnuQAA,,,Agencia de Desarrollo Regional,0,5.43493E+11,Mixed,,,http://www.acdicar.com.ar/
AR-ACES,,,Argentina,,,MARIANO ACOSTA S/N Y RUTA NACIONAL 8,0011I00000cijL4QAI,,Academic Institution,Asociación Civil de Estudios Superiores Aces - Iae Business School-Univ Austral,0,+54 230 4481000,,,,
AR-ACIC,INTA,Presidencia Roque Sáenz Peña,Argentina,3700,,Calle 334,0011I00000cik62QAA,,Business,Asociacion Cooperadora de la Estacion Experimental Agropecuaria Catamarca,0,5.43644E+11,Public Sector,,,
AR-ACRUX,,,Argentina,,,,0011I00000cijKNQAY,,,Acrux Partners,0,,,,,
AR-ADEC,,Córdoba,Argentina,5000,,"Caseros 621, 1º y 2º piso",0011I00000cijoFQAQ,,,Agencia de Desarrollo Economico de Provincia Cordoba,0,5.43514E+11,Mixed,,,http://www.adec.org.ar/
AR-ADELCO,ADELCO,Buenos Aires,Argentina,1050,,"Tucumán 1673 5º Piso, Oficina 10",0011I00000cikIvQAI,,,Accion del Consumidor,0,5.41135E+11,Private Sector,,,http://www.adelco.org/
AR-ADIMRA,ADIMRA,Buenos Aires,Argentina,C1088AAO,,"Adolfo Alsina 1609, 2º Piso, Ciudad Autónoma de Buenos Aires",0011I00000cijnnQAA,,Business,Asociación de Industriales Metalúrgicos de la República Argentina,0,5.41144E+11,Private Sector,,,http://www.adimra.org.ar/
AR-AFLUEN,,Buenos Aires,Argentina,,,AVENIDA DORREGO 1789 PISO 5 OFICINA 503,0011I00000cikjNQAQ,,Business,Afluenta,0,54115219665,Private Sector,,,www.afluenta.com
AR-AGDEC,,,Argentina,,,,0011I00000cij6bQAA,,Business,Agencia de Desarrollo Economico de Cordoba,0,,,,,
AR-AMIA,AMIA,Buenos Aires,Argentina,C1028AAM,,Pasteur 633,0011I00000cijo2QAA,,,Asociacion Mutual Israelita Argentina Laboral,0,5.4115E+11,Private Sector,,,http://www.amia.org.ar/
AR-AMPF,AMPF,Buenos Aires,Argentina,1038,,TTE GRAL PERON 1383,0011I00000cikfsQAA,,,Asociación Mutual de Protección Familiar,0,5.40114E+12,Private Sector,,,
AR-AMSA,,Mendoza,Argentina,5500,,Av Colón 163,0011I00000cijntQAA,,Financial Institution,"Argentina Microfinanzas, s.a.",0,5.42614E+11,Private Sector,,,http://www.argentinamicrofinanzas.com
AR-AMWASA,Warmi Sayajsunqo,San Salvador De Jujuy,Argentina,4600,,"5545 TegucigalpaAbra Pampa, Jujuy",0011I00000cijnyQAA,,,Asociacion Mujeres Warmi Sayajsunqo,0,54388422530,Private Sector,,,http://ibitineris.blogspot.com/2010/08/asociacion-warmi-sayajsunqo-mujeres.html
AR-APYME,,,Argentina,,,,0011I00000cijLCQAY,,Business,Asamblea de Pequeñas y Medianas Empresas,0,,,,,
AR-AQUA CAPITAL,AQUA,Buenos Aires,Argentina,,,Arenales 1834  1O C  (1124),0011I00000cikXDQAY,,Business,Aqua Capital Partners s.a.,0,5.41148E+11,Private Sector,,,www.aquacapitalpartners.com
AR-AR,,,Argentina,,,NACION ARGENTINA,0011I00000cijL7QAI,,,Nacion Argentina,0,,,,,
AR-ARGENCON,,Buenos Aires,Argentina,1107,,OLGA COSSETTINI 731  3er piso,0011I00000cikjSQAQ,Business Association/Chamber,Business,Asociación de Empresas Promotoras de la Exportación de Servicios de Conocimiento,0,5.41152E+11,Private Sector,,,www.argencon.org
AR-ARGENINTA,,,Argentina,,,,0011I00000cijKYQAY,,,Fundación Argeninta,0,,,,,
AR-AUDGEN,,,Argentina,,,HIPOLITO YRIGOYEN 1236 4,0011I00000cijHxQAI,,Government,Auditoria General de la Nacion,0,,,,,
AR-AVINA,AVINA,Buenos Aires,Argentina,1006,,Maipú 879 – Piso 3 – DTO B – CABA,0011I00000cikQ1QAI,,Foundation,Fundación Avina Argentina,0,5.41148E+11,Private Sector,,,http://www.avina.net/
AR-BA,,Mendoza,Argentina,M5500GHL,,Rivadavia 592,0011I00000cijo0QAA,Business Association/Chamber,Business,Bodegas de Argentina,0,5.42614E+11,Private Sector,,,http://www.bodegasdeargentina.org/
AR-BACIBAB,BCBA,Buenos Aires,Argentina,C1041AAM,,"Sarmiento 611, Ciudad Autónoma de Buenos Aires",0011I00000cilwSQAQ,,Financial Institution,Banco de la Ciudad de Buenos Aires,0,5.41143E+11,Mixed,,,http://www.bancociudad.com.ar/
AR-BCOOBAB,,Buenos Aires,Argentina,1003,,RECONQUISTA 484 FLOOR 31003 BUENOS AIRES,0011I00000cikJDQAY,,Financial Institution,Banco Credicoop Cooperativo Ltd,0,5.41143E+11,Private Sector,,,http://www.bancocredicoop.coop/
AR-C.J. SANCOR,,Córdoba,Argentina,X2424,,"Frente.Ruta Nac.19 Km. 151, Devoto",0011I00000cikRdQAI,,,Federacion de Centros Juveniles Agrarioscooperativistas de la Zona Zancor,0,5.44E+17,Private Sector,,,http://www.centrosjuveniles.com.ar/opciones/index.asp
AR-CAME,,Buenos Aires,Argentina,,,,0011I00000cijo4QAA,,Business,Coordinadora de Actividades Mercantiles Empresarias,0,,Private Sector,,,
AR-CARCO,,Buenos Aires,Argentina,C1003AAN,,"Av. Leandro, N. Alem 36",0011I00000cikJSQAY,Business Association/Chamber,Business,Camara Argentina de Comercio,0,5.41153E+11,Mixed,,,http://www.cac.com.ar/
AR-CARITAS,,Buenos Aires,Argentina,,,,0011I00000cikCQQAY,,International Organization / Program,"Caritas, Argentina",0,,Private Sector,,,
AR-CAUQUEVA,CAUQUEVA,Maimará,Argentina,4622,,Belgrano S/NMaimará,0011I00000cik6lQAA,Producer association,Business,Cooperativa Agropecuaria y Artesanal Union Quebrada y Valles,0,3.88155E+11,Private Sector,,,http://www.cauqueva.com.ar/
AR-CEARE,,Buenos Aires,Argentina,C1425CKB,,"Facultad de Derecho de la Universidad de Buenos Aires, Avda. Figueroa Alcorta 2263 2º Piso.",0011I00000cikJwQAI,,Academic Institution,"Centro de Estudios Actividad Regulatoriaenergetica, Argentina",0,5.41148E+11,Private Sector,,,http://www.ceare.org/
AR-CEAS,,Mar Del Plata,Argentina,7600,,AV. FÉLIX U. CAMET 2497,0011I00000cikZ8QAI,,,Centro de Estudios y Acción Social,0,0223-4712525,Private Sector,,,http://www.ceaspa.org.pa/
AR-CFRN,,Corrientes,Argentina,3400,,SAN LORENZO 778,0011I00000cik64QAA,,Financial Institution,Cofirene Banco de Inversiones s.a.,0,34917454480,Private Sector,,,http://corrientes.opendi.com.ar/4841.html
AR-CGEE,,Buenos Aires,Argentina,C1033AAB,,Av. Rivadavia 1115,0011I00000cikDkQAI,Business Association/Chamber,Business,Confederacion General Economica,0,5.41144E+11,Private Sector,,,http://www.cgera.org.ar/index.php/es/
AR-CIAI,,Buenos Aires,Argentina,C1033AAF,,St. Michael,0011I00000cikQ3QAI,Business Association/Chamber,Business,Cámara Industrial Argentina de la Indumentaria,0,5.41144E+11,Mixed,,,http://www.ciaindumentaria.com.ar
