ACRNM__C,ABBREVIATION__C,BILLINGCITY,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,BILLINGSTREET,,CREATEDBYID,CREATEDDATE,DESCRIPTION,INSTITUTION_SUB_TYPE__C,INSTITUTION_TYPE__C,LASTMODIFIEDBYID,LASTMODIFIEDDATE,NAME,OPPORTUNITIES__C,PHONE,PUBLIC_PRIVATE_SECTOR__C,RELATIONSHIP_WITH_THE_BANK__C,TYPE,WEBSITE
AR-AACREA,,Buenos Aires,Argentina,C1041AAZ,,"SARMIENTO 1236, 5TO PISO",,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,Business Association/Chamber,Business,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Asociación Argentina de Consorcios Regionales de Experimentación Agrícola,0,5.41E+11,Private Sector,,,http://www.aacrea.org.ar/
AR-ACADH,,Buenos Aires,Argentina,1407,,"Av. Lafuente 3114, Villa Soldati",,0051I000000Pt9NQAS,2018-10-04T15:01:33.000Z,"Promote capacity building and improvement of the living standards of low-income sectors through the provision of various instruments that do not have access, such as credit, training, mentoring and developing demand generation through coordination with buyers.Otorgar microcréditos, capacitación, tutorías y articulación con empresas a los emprendedores que participan en el proyecto.",,,0051I000004QJ2KQAW,2019-06-14T19:47:18.000Z,Asociacion Civil Avanzar por el Desarrollo Humano,0,5.41E+11,Private Sector,,,http://www.avanzar.org.ar/
AR-ACC,,Concordia,Argentina,3200,,"PELLEGRINI 407, Concordia",,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,Business Association/Chamber,Business,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Asociacion Citricultores de Concordia,0,5.43E+11,Private Sector,,,www.fecier.org.ar
AR-ACCSS,,Buenos Aires,Argentina,C1437ETE,,"Iguazú 451, Parque Patricios",,0051I000000Pt9NQAS,2018-10-04T15:01:33.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:18.000Z,Asociacion Civil Circo Social del Sur,0,5.41E+11,Private Sector,,,http://www.circosocialdelsur.org.ar/
AR-ACDI,ACDI,Santa Fe,Argentina,S3000BXD,,La Rioja 2350 PA,,0051I000000Pt9NQAS,2018-10-04T15:00:35.000Z,"ACDI es una organización comprometida en el desarrollo de las personas en todas sus dimensiones, que lleva adelante acciones diversas para promover el desarrollo social y económico en las áreas rurales y urbanas, así como la protección ambientalACDI ejecutó desde su fundación diversos proyectos de desarrollo del sector rural dirigidos a fortalecer la asociatividad, la competitividad del sector, la inclusión de la agricultura tradicional en los mercados internacionales, uso sustentable de los recursos naturales y la adaptación al cambio climático.  EJES DE INTERVENCIÓN  1-Fortalecer a los emprendedores agro-industriales mejorando su eficiencia y competitividad  -Formación de Consorcios de Productores  -Integración de la cadena de valor, desarrollo de alianzas estratégicas  -Adecuación de la producción al mercado  -Promoción de alianzas e integración de la cadena de valor  -Desarrollo de estrategias de diferenciación  -Internacionalización de la producción  2-Fortalecer a los emprendedores agro-industriales favoreciendo el acceso y la gestión de la información  -A través de la incorporación de nuevas tecnologías de la información y las comunicaciones (TICs) en sus estrategias productivas y comerciales.  3-Fortalecer a las políticas públicas y la toma de decisiones gubernamentales  - Ordenamiento y gestión del territorio, adaptación al cambio climático  - Adecuación de las normativas y estructuras para mejorar la competitividad del sector agro-industrial.",,,0051I000004QJ2KQAW,2019-06-14T19:47:24.000Z,Asociacion Cultural para el Desarrollo Integral,0,5.43E+11,Private Sector,,,http://www.acdi.org.ar/
AR-ACDICAR,ACDICAR,Rafaela,Argentina,2300,,"Oficina Programa de Competitividad Territorial, Presidente Perón y 500 Millas Argentinas, (ITEC - PAER) RafaelaRafaela, Santa Fe",,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Agencia de Desarrollo Regional,0,5.43E+11,Mixed,,,http://www.acdicar.com.ar/
AR-ACES,,,Argentina,,,MARIANO ACOSTA S/N Y RUTA NACIONAL 8,,0051I000000Pt9NQAS,2018-10-04T14:51:57.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Asociación Civil de Estudios Superiores Aces - Iae Business School-Univ Austral,0,+54 230 4481000,,,,
AR-ACIC,INTA,Presidencia Roque Sáenz Peña,Argentina,3700,,Calle 334,,0051I000000Pt9NQAS,2018-10-04T15:00:44.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:26.000Z,Asociacion Cooperadora de la Estacion Experimental Agropecuaria Catamarca,0,5.44E+11,Public Sector,,,
AR-ACRUX,,,Argentina,,,,,0051I000000Pt9NQAS,2018-10-04T14:51:57.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Acrux Partners,0,,,,,
AR-ADEC,,Córdoba,Argentina,5000,,"Caseros 621, 1º y 2º piso",,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,aaa,,,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Agencia de Desarrollo Economico de Provincia Cordoba,0,5.44E+11,Mixed,,,http://www.adec.org.ar/
